"filename", "language", "Markdown", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\berti\OneDrive\Skrivebord\GMP\README.md", "Markdown", 2, 0, 0, 0, 1, 3
"c:\Users\berti\OneDrive\Skrivebord\GMP\bot\bot.js", "JavaScript", 0, 26, 0, 1, 5, 32
"c:\Users\berti\OneDrive\Skrivebord\GMP\bot\buttons\api-cmd.js", "JavaScript", 0, 9, 0, 0, 0, 9
"c:\Users\berti\OneDrive\Skrivebord\GMP\bot\buttons\api-disable.js", "JavaScript", 0, 30, 0, 0, 0, 30
"c:\Users\berti\OneDrive\Skrivebord\GMP\bot\buttons\api-generate.js", "JavaScript", 0, 41, 0, 0, 4, 45
"c:\Users\berti\OneDrive\Skrivebord\GMP\bot\buttons\api-reset.js", "JavaScript", 0, 50, 0, 0, 1, 51
"c:\Users\berti\OneDrive\Skrivebord\GMP\bot\buttons\report-accept.js", "JavaScript", 0, 41, 0, 0, 3, 44
"c:\Users\berti\OneDrive\Skrivebord\GMP\bot\buttons\report-decline.js", "JavaScript", 0, 34, 0, 0, 3, 37
"c:\Users\berti\OneDrive\Skrivebord\GMP\bot\buttons\report-my.js", "JavaScript", 0, 35, 0, 0, 1, 36
"c:\Users\berti\OneDrive\Skrivebord\GMP\bot\buttons\report-user.js", "JavaScript", 0, 17, 0, 0, 1, 18
"c:\Users\berti\OneDrive\Skrivebord\GMP\bot\commands\api.js", "JavaScript", 0, 48, 0, 3, 4, 55
"c:\Users\berti\OneDrive\Skrivebord\GMP\bot\commands\check.js", "JavaScript", 0, 33, 0, 0, 3, 36
"c:\Users\berti\OneDrive\Skrivebord\GMP\bot\commands\history.js", "JavaScript", 0, 38, 0, 1, 0, 39
"c:\Users\berti\OneDrive\Skrivebord\GMP\bot\commands\setup.js", "JavaScript", 0, 32, 0, 0, 2, 34
"c:\Users\berti\OneDrive\Skrivebord\GMP\bot\events\ButtonExecutor.js", "JavaScript", 0, 18, 0, 0, 2, 20
"c:\Users\berti\OneDrive\Skrivebord\GMP\bot\events\CommandExecutor.js", "JavaScript", 0, 10, 0, 0, 0, 10
"c:\Users\berti\OneDrive\Skrivebord\GMP\bot\events\ReportModal.js", "JavaScript", 0, 74, 0, 0, 3, 77
"c:\Users\berti\OneDrive\Skrivebord\GMP\bot\handlers\ButtonHandler.js", "JavaScript", 0, 19, 0, 0, 3, 22
"c:\Users\berti\OneDrive\Skrivebord\GMP\bot\handlers\CommandHandler.js", "JavaScript", 0, 26, 0, 0, 2, 28
"c:\Users\berti\OneDrive\Skrivebord\GMP\bot\handlers\EventHandler.js", "JavaScript", 0, 16, 0, 0, 1, 17
"c:\Users\berti\OneDrive\Skrivebord\GMP\main.js", "JavaScript", 0, 13, 0, 1, 9, 23
"c:\Users\berti\OneDrive\Skrivebord\GMP\package-lock.json", "JSON", 0, 0, 2229, 0, 1, 2230
"c:\Users\berti\OneDrive\Skrivebord\GMP\package.json", "JSON", 0, 0, 18, 0, 1, 19
"c:\Users\berti\OneDrive\Skrivebord\GMP\web\web.js", "JavaScript", 0, 19, 0, 0, 2, 21
"Total", "-", 2, 629, 2247, 6, 52, 2936
